"","Sitio","Long","Lat","ViaSentido","DATA","VMD"
"97","01385149",-38.509467,-3.743262,"AV. ANTONIO SALES [O-L]","2017-01",22933
"98","01385149",-38.509467,-3.74326,"AV. ANTONIO SALES [O-L]","2017-01",22933
"99","01385150",-38.509382,-3.74321,"AV. BARAO DE STUDART [N-S]","2017-01",7874
"100","01385150",-38.509382,-3.743206,"AV. BARAO DE STUDART [N-S]","2017-01",7874
"101","01385151",-38.50151,-3.74573,"AV. ANTONIO SALES [O-L]","2017-01",24805
"102","01385151",-38.50151,-3.745728,"AV. ANTONIO SALES [O-L]","2017-01",24805
"103","01385152",-38.501417,-3.74566,"AV. DESEMBARGADOR MOREIRA [N-S]","2017-01",12022
"104","01385153",-38.564686,-3.77967,"AV. GODOFREDO MACIEL [S-N]","2017-01",18506
"105","01385153",-38.564686,-3.779666,"AV. GODOFREDO MACIEL [S-N]","2017-01",18506
"106","01385160",-38.482927,-3.73711,"AV. ENG. SANTANA JUNIOR [S-N]","2017-01",13403
"107","01385160",-38.482927,-3.737105,"AV. ENG. SANTANA JUNIOR [S-N]","2017-01",13403
"108","01385161",-38.482903,-3.73689,"AV. ENG. SANTANA JUNIOR [N-S]","2017-01",7556
"109","01385161",-38.482903,-3.736886,"AV. ENG. SANTANA JUNIOR [N-S]","2017-01",7556
"110","01385162",-38.517673,-3.793571,"AV. ALBERTO CRAVEIRO [S-N]","2017-01",18721
"111","01385163",-38.517806,-3.793152,"AV. ALBERTO CRAVEIRO [N-S]","2017-01",23047
"112","01385164",-38.549223,-3.74887,"AV. JOSE BASTOS [S-N]","2017-01",21089
"113","01385164",-38.549223,-3.748865,"AV. JOSE BASTOS [S-N]","2017-01",21089
"114","01385165",-38.508514,-3.73293,"AV. SANTOS DUMONT [O-L]","2017-01",16171
"115","01385165",-38.508514,-3.732927,"AV. SANTOS DUMONT [O-L]","2017-01",16171
"116","01385166",-38.499493,-3.74019,"AV. PADRE ANTONIO TOMAS [L-O]","2017-01",19313
"117","01385166",-38.499493,-3.740187,"AV. PADRE ANTONIO TOMA¡S [L-O]","2017-01",19313
"118","01385167",-38.532341,-3.758062,"AV. BORGES DE MELO [O-L]","2017-01",16830
"119","01385167",-38.532341,-3.75806,"AV. BORGES DE MELO [O-L]","2017-01",16830
"120","01385169",-38.566742,-3.78746,"AV. GODOFREDO MACIEL [S-N]","2017-01",25646
"121","01385178",-38.584662,-3.74848,"AV. CORONEL MATOS DOURADO [S-N]","2017-01",20298
"122","01385179",-38.604918,-3.807571,"AV. GEN. OSORIO DE PAIVA [N-S]","2017-01",17201
"123","01385179",-38.604918,-3.80757,"AV. GEN. OSORIO DE PAIVA [N-S]","2017-01",17201
"124","01385180",-38.604774,-3.8077,"AV. GEN. OSORIO DE PAIVA [S-N]","2017-01",19736
"125","01385181",-38.477956,-3.74288,"AV. SANTOS DUMONT [O-L]","2017-01",17396
"126","01385181",-38.477956,-3.742879,"AV. SANTOS DUMONT [O-L]","2017-01",17396
"127","01385183",-38.534894,-3.744532,"AV. 13 DE MAIO [L-O]","2017-01",21632
"128","01385183",-38.534824,-3.74459,"AV. 13 DE MAIO [L-O]","2017-01",21632
"129","01385184",-38.496609,-3.74726,"AV. ANTONIO SALES [O-L]","2017-01",23840
"130","01385184",-38.496609,-3.747256,"AV. ANTONIO SALES [O-L]","2017-01",23840
"131","01385185",-38.516747,-3.73605,"AV. HERACLITO GRACA [O-L]","2017-01",2095
"132","01385185",-38.516747,-3.736046,"AV. HERACLITO GRACA [O-L]","2017-01",2095
"133","01385186",-38.536793,-3.750408,"AV. DOS EXPEDICIONARIOS [N-S]","2017-01",12758
"134","01385186",-38.536779,-3.75035,"AV. DOS EXPEDICIONARIOS [N-S]","2017-01",12758
"135","01385187",-38.469578,-3.745464,"AV. SANTOS DUMONT [L-O]","2017-01",6753
"136","01385187",-38.469578,-3.74546,"AV. SANTOS DUMONT [L-O]","2017-01",6753
"137","01385188",-38.489318,-3.726329,"AV. DA ABOLICAO [L-O]","2017-01",25960
"138","01385190",-38.539297,-3.82563,"AV. PRES. COSTA E SILVA [L-O]","2017-01",8333
"139","01385191",-38.539704,-3.825677,"AV. PRES. COSTA E SILVA [O-L]","2017-01",32087
"140","01385192",-38.49571,-3.821242,"AV. FREI CIRILO [N-S]","2017-01",16978
"141","01385192",-38.49571,-3.82124,"AV. FREI CIRILO [N-S]","2017-01",16978
"142","01385194",-38.517025,-3.753098,"AV. PONTES VIEIRA [L-O]","2017-01",6771
"143","01385195",-38.491236,-3.730981,"AV. SEN. VIRGILIO TAVORA [S-N]","2017-01",10502
"144","01385195",-38.491236,-3.73098,"AV. SEN. VIRGILIO TAVORA [S-N]","2017-01",10502
"145","01385196",-38.53224,-3.71913,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",30864
"146","01385196",-38.53224,-3.719128,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",30864
"147","01385197",-38.532305,-3.719264,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",28432
"148","01385197",-38.532305,-3.71926,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",28432
"149","01385199",-38.520585,-3.727444,"R. COSTA BARROS [L-O]","2017-01",16531
"150","01385199",-38.520585,-3.72744,"R. COSTA BARROS [L-O]","2017-01",16531
"151","01385200",-38.554858,-3.809822,"AV. BERNARDO MANUEL [N-S]","2017-01",18437
"152","01385200",-38.554858,-3.80982,"AV. BERNARDO MANUEL [N-S]","2017-01",18437
"153","01385201",-38.536983,-3.724058,"R. GUILHERME ROCHA [L-O]","2017-01",5733
"154","01385202",-38.538705,-3.74973,"R. JORGE DUMMAR [S-N]","2017-01",12399
"155","01385202",-38.538705,-3.749729,"R. JORGE DUMMAR [S-N]","2017-01",12399
"156","01385203",-38.495128,-3.82235,"AV. FREI CIRILO [S-N]","2017-01",11980
"157","01385203",-38.495128,-3.822346,"AV. FREI CIRILO [S-N]","2017-01",11980
"158","01385205",-38.584514,-3.732821,"R. DEMETRIO MENEZES [N-S]","2017-01",15374
"159","01385206",-38.584355,-3.732983,"R. DEMETRIO MENEZES [S-N]","2017-01",16914
"160","01385207",-38.534347,-3.73572,"AV. DA UNIVERSIDADE [S-N]","2017-01",18886
"161","01385207",-38.534347,-3.735715,"AV. DA UNIVERSIDADE [S-N]","2017-01",18886
"162","01385210",-38.571247,-3.800637,"AV. GODOFREDO MACIEL [N-S]","2017-01",19990
"163","01385211",-38.571975,-3.80344,"AV. GODOFREDO MACIEL [S-N]","2017-01",22023
"164","01385211",-38.571975,-3.803436,"AV. GODOFREDO MACIEL [S-N]","2017-01",22023
"165","01385212",-38.519754,-3.72355,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",17388
"166","01385212",-38.519754,-3.723547,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",17388
"167","01385213",-38.546087,-3.781542,"AV. BERNARDO MANUEL [S-N]","2017-01",23315
"168","01385213",-38.546087,-3.78154,"AV. BERNARDO MANUEL [S-N]","2017-01",23315
"169","01385220",-38.50637,-3.726773,"R. DEPUTADO MOREIRA DA ROCHA [L-O]","2017-01",14384
